T,input_acc,W1,W2,W3,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,Wb1,Wb2,Wb3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,9.8,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.02,9.796067603445321,-2.427002160992897e-05,-5.737789364956837e-06,-1.860842893082193e-05,0.0,0.0,1.1312968325986068e-13,0.0,0.0,5.653381381991463e-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.03,9.792217147482123,-6.781762252805079e-05,-1.4868898065048699e-05,-2.687821981197548e-05,0.0,0.0,3.6102283944665918e-12,0.0,0.0,9.015656945673603e-10,0.0,0.0,0.0,6.82683246766108e-14,1.6139634055069317e-14,4.00989571892724e-22,6.82683246766108e-14,1.6139634055069317e-14,4.00989571892724e-22
0.04,9.788429746141148,-0.00012642276812289177,-2.7164663173629408e-05,-3.8243369326669365e-05,0.0,0.0,2.7339943542160597e-11,0.0,0.0,4.549140065862026e-09,0.0,0.0,0.0,5.796246806806635e-13,1.2970451047004145e-13,1.2227454474707154e-20,5.796246806806635e-13,1.2970451047004145e-13,1.2227454474707154e-20
0.05,9.78471344123192,-0.00019629161138235262,-4.1585349317819444e-05,-4.671630333568549e-05,0.0,0.0,1.1489376098896446e-10,0.0,0.0,1.4330090289801108e-08,0.0,0.0,0.0,2.431582372473444e-12,5.316018757958627e-13,1.1891470213124114e-19,2.431582372473444e-12,5.316018757958627e-13,1.1891470213124114e-19
0.060000000000000005,9.78106393396299,-0.0002741700587365045,-5.7609474522991074e-05,-5.517879971543404e-05,0.0,0.0,3.4966339230396846e-10,0.0,0.0,3.486995774254111e-08,0.0,0.0,0.0,7.172326331295873e-12,1.545072472362465e-12,6.560838718771179e-19,7.172326331295873e-12,1.545072472362465e-12,6.560838718771179e-19
0.07,9.777482551963896,-0.0003572431683619717,-7.461638945692466e-05,-6.244318936801763e-05,0.0,0.0,8.676779378327249e-10,0.0,0.0,7.206702790223779e-08,0.0,0.0,0.0,1.705892201553068e-11,3.63890047078944e-12,2.566416949220004e-18,1.705892201553068e-11,3.63890047078944e-12,2.566416949220004e-18
0.08,9.773968032780367,-0.00044312950470280435,-9.21579451256102e-05,-6.916884359930151e-05,0.0,0.0,1.870221995708433e-09,0.0,0.0,1.3307048344934425e-07,0.0,0.0,0.0,3.50606007210325e-11,7.425690595103932e-12,7.952298165189748e-18,3.50606007210325e-11,7.425690595103932e-12,7.952298165189748e-18
0.09,9.770520280045105,-0.0005298307184058409,-0.00010982377477621613,-7.516022185535056e-05,0.0,0.0,3.6362358869278954e-09,0.0,0.0,2.262586743792674e-07,0.0,0.0,0.0,6.48213516489837e-11,1.3655148445509161e-11,2.0816072496850593e-17,6.48213516489837e-11,1.3655148445509161e-11,2.0816072496850593e-17
0.09999999999999999,9.767138648455312,-0.0006157012848601207,-0.00012729205644529078,-8.060177872849108e-05,0.0,0.0,6.5344991666158295e-09,0.0,0.0,3.612175051273824e-07,0.0,0.0,0.0,1.1059315119890198e-10,2.3199382184303172e-11,4.794273555278297e-17,1.1059315119890198e-10,2.3199382184303172e-11,4.794273555278297e-17
0.10999999999999999,9.763822727541996,-0.0006994097358121772,-0.0001442957776653893,-8.549536908791164e-05,0.0,0.0,1.1035598591601116e-08,0.0,0.0,5.487189387064048e-07,0.0,0.0,0.0,1.7714993312019077e-10,3.7035805980058955e-11,9.986473054968906e-17,1.7714993312019077e-10,3.7035805980058955e-11,9.986473054968906e-17
0.11999999999999998,9.760571984806667,-0.0007799052352124065,-0.00016062783797258219,-8.991776215269377e-05,0.0,0.0,1.772368171442856e-08,0.0,0.0,8.006996178561229e-07,0.0,0.0,0.0,2.696903541250829e-10,5.6226995531607285e-11,1.9183494447620597e-16,2.696903541250829e-10,5.6226995531607285e-11,1.9183494447620597e-16
0.12999999999999998,9.75738592921062,-0.0008563837912000783,-0.00017612886542024456,-9.390405289397787e-05,0.0,0.0,2.730799727392976e-08,0.0,0.0,1.1302396032054849e-06,0.0,0.0,0.0,3.9373600590884957e-10,8.190019466509498e-11,3.4473960123212336e-16,3.9373600590884957e-10,8.190019466509498e-11,3.4473960123212336e-16
