T,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,Wb1,Wb2,Wb3
5.000000000000004,4.0,2.0336564633485124e-14,1.0,-2.555568082072435e-14,5.026548245743669,0.0,2.75439144904065e-15,-0.5725312783979288,0.0,0.7222253729258771,3.9938118050416335e-15,2.3717997378693877e-15,0.7222253729258784,3.993811805041639e-15,1.9935743374064413e-15
5.001000000000005,3.999996841727007,0.0050265469228307465,1.0,-0.006316545154275781,5.0265442769407755,0.0,0.0006807973313815127,-0.5725309188537555,0.0,0.7218983689985021,0.00098667275424746,0.0005866111141278002,0.7222161720816629,0.0009870082033906602,0.0004923938768563017
5.002000000000005,3.9999873669130164,0.010053085908041014,1.0,-0.012633080333843489,5.026532370538365,0.0,0.0013615939032275376,-0.5725298402208034,0.0,0.7215717786797943,0.0019724013184930604,0.001173933694483668,0.7222077692265237,0.0019737430154484156,0.0009840436035443772
5.003000000000005,3.999971575572989,0.015079609018052869,1.0,-0.018949595564048516,5.026512526555237,0.0,0.002042388956004683,-0.5725280424977764,0.0,0.7212469929137976,0.0029571759032226935,0.0017618627678518118,0.7222014973674484,0.002960194318835084,0.0014748629014388263
5.004000000000006,3.999949467731863,0.02010610831530377,1.0,-0.02526608087025559,5.02648474502273,0.0,0.0027231817301743085,-0.572525525682514,0.0,0.7209248730601518,0.003940984445869731,0.0023502626263777362,0.7221981432746282,0.00394634941499998,0.0019647396955301166
5.005000000000006,3.9999210434245485,0.025132575862265236,1.0,-0.03158252627787225,5.0264490259847125,0.0,0.003403971466191387,-0.5725222897719916,0.0,0.7206059031679716,0.004923813913032723,0.0029389843756316963,0.7221981092631141,0.004932194288741184,0.0024535508674330972
5.0060000000000064,3.9998863026959315,0.030159003721458907,1.0,-0.037898921812369014,5.026405369497591,0.0,0.004084757404503014,-0.5725183347623205,0.0,0.7202902937309181,0.005905651186808102,0.0035278776819080244,0.7222015233130298,0.005917714497214525,0.0029411721290450088
5.007000000000007,3.9998452456008726,0.03518538395546911,1.0,-0.04421525749929517,5.026353775630305,0.0,0.0047655387855464445,-0.5725136606487482,0.0,0.7199780575935908,0.00688648367311653,0.004116798567508714,0.7222083191999543,0.006902895805433163,0.0034274845721106568
5.008000000000007,3.9997978722042067,0.040211708626958914,1.0,-0.050531523364298975,5.026294244464329,0.0,0.005446314849747595,-0.572508267425658,0.0,0.7196690680767509,0.007866299702027518,0.004705614304188862,0.7222182972718917,0.007887724627236622,0.003912378777346592
5.0090000000000074,3.9997441825807427,0.0452379697986685,1.0,-0.05684770943312556,5.02622677609367,0.0,0.006127084837517166,-0.5725021550865691,0.0,0.7193631042885817,0.008845088766155184,0.00529420612837758,0.7222311712320427,0.008872188309904107,0.004395757092053977
5.010000000000008,3.999684176815264,0.050264159533448954,1.0,-0.06316380573165944,5.026151370624869,0.0,0.006807847989251543,-0.5724953236241376,0.0,0.719059886338169,0.009822841634501018,0.005882470348898101,0.7222466039527689,0.009856275294328783,0.004877534556449082
5.011000000000008,3.9996178550025276,0.05529026989426063,1.0,-0.06947980228592243,5.0260680281770025,0.0,0.007488603545328918,-0.5724877730301549,0.0,0.718759102246198,0.01079955037425539,0.0064703183177180785,0.7222642343706792,0.010839975179788519,0.005357638874558156
5.0120000000000084,3.999545217247265,0.06031629294418922,1.0,-0.07579568912209389,5.02597674888168,0.0,0.008169350746107792,-0.5724795032955495,0.0,0.7184604279804087,0.011775208308474654,0.007057675646763719,0.7222836970979188,0.011823278719307169,0.005836009751839349
5.013000000000009,3.9994662636641807,0.06534222074645829,1.0,-0.08211145626652637,5.025877532883044,0.0,0.008850088831925012,-0.5724705144103861,0.0,0.7181635418687062,0.012749809932519625,0.007644480971110006,0.7223046361652797,0.012806177767707743,0.006312597852056941
5.014000000000009,3.9993809943779532,0.07036804536444538,1.0,-0.08842709374576596,5.025770380337768,0.0,0.009530817043094286,-0.5724608063638662,0.0,0.7178681345125086,0.01372335080706857,0.008230684483154413,0.7223267141414207,0.013788665200154307,0.006787363562224428
5.0150000000000095,3.999289409523235,0.07539375886168032,1.0,-0.0947425915865501,5.025655291415062,0.0,0.010211534619902282,-0.5724503791443281,0.0,0.7175739151890078,0.014695827440827364,0.008816246397076202,0.7223496177031967,0.014770734814756513,0.007260275699492666
5.01600000000001,3.9991915092446506,0.08041935330187902,1.0,-0.10105793981585008,5.025532266296668,0.0,0.010892240802609556,-0.5724392327392466,0.0,0.7172806155875376,0.015667237172081065,0.009401135449815756,0.7223730605598575,0.01575238122907544,0.007731310249226004
5.01700000000001,3.9990872936967983,0.08544482074894193,1.0,-0.10737312846086908,5.025401305176859,0.0,0.011572934831446656,-0.572427367135234,0.0,0.7169879915802051,0.01663757805502118,0.009985327503934981,0.7223967844666966,0.01673359977724792,0.008200449189141371
5.0180000000000105,3.998976763044248,0.09047015326696996,1.0,-0.11368814754906217,5.02526240826244,0.0,0.012253615946612631,-0.5724147823180398,0.0,0.716695823589806,0.01760684875440179,0.010568804287820218,0.7224205589103883,0.017714386412056495,0.008667679429250525
5.019000000000011,3.998859917461543,0.09549534292027713,1.0,-0.12000298710815227,5.025115575772748,0.0,0.012934283388273076,-0.572401478272551,0.0,0.7164039159956048,0.018575048450337018,0.01115155228783527,0.7224441799145127,0.018694737614466966,0.009132991879820383
