N_segment,Tseg,Xcoeff,Ycoeff,Zcoeff,Order
14,3.97678627089981,0,0,0.5,8
-1,3.68462436997822,0,0,0,-1
-1,2.85282692549337,0,0,0,-1
-1,2.38504948732671,0,0,0,-1
-1,2.43521728068554,0,0,0,-1
-1,2.34173655728728,-0.00140916217092809,0.00320698346961269,0,-1
-1,2.38144035839534,0.000568284712517514,-0.00100763777522128,0,-1
-1,2.39187114434771,-5.37966404432387e-05,8.23832139473003e-05,0,-1
-1,2.42420920000696,0,0.5,0.5,-1
-1,2.31638790776076,0.139655136146597,0.278144024744237,0,-1
-1,2.40597234182339,0.12208021736222,-0.0425881431263083,0,-1
-1,2.7053268715956,0.0210313762396858,-0.0391051878101472,0,-1
-1,3.05762309841766,-0.0116284082958587,0.0060772923869942,0,-1
-1,4.87400149673744,0.000418137690961989,-0.00053621272813538,0,-1
-1,-1,4.91846784151708e-05,0.000159445876517904,0,-1
-1,-1,1.32544928314614e-06,-1.57752226838504e-05,0,-1
-1,-1,1.5,0,0.5,-1
-1,-1,0.178081341999637,-0.533163485987798,0,-1
-1,-1,-0.228617610173106,-0.0321915804127545,0,-1
-1,-1,-0.0358264326075487,0.0354199346399713,0,-1
-1,-1,0.00841195449708174,0.00104926059690227,0,-1
-1,-1,0.000924684310345762,-0.000405307959839969,0,-1
-1,-1,-4.62222900186078e-05,-9.82662111629957e-05,0,-1
-1,-1,-1.46822938449331e-05,1.34579073391176e-05,0,-1
-1,-1,0,-1,0.5,-1
-1,-1,-1.02139522695962,0.0505578248921267,0,-1
-1,-1,-0.0139603963870989,0.183852638115942,0,-1
-1,-1,0.0799196988385758,-2.46880912721156e-05,0,-1
-1,-1,0.00402767739621086,-0.005792042946046,0,-1
-1,-1,-0.0022060894434761,1.73558604782494e-05,0,-1
-1,-1,-0.000305954242319902,0.00013195937257845,0,-1
-1,-1,6.2517174107784e-05,-9.77980830552726e-06,0,-1
-1,-1,-1.5,0,0.5,-1
-1,-1,0.0763985998866178,0.664115230155644,0,-1
-1,-1,0.348857432243746,0.0365438605397013,0,-1
-1,-1,-0.0193633579498297,-0.0295642256197898,0,-1
-1,-1,-0.0187000780615353,0.00103063380782027,0,-1
-1,-1,0.000858350808479638,0.000766720716532656,0,-1
-1,-1,0.000730316021520966,-2.27131686002337e-05,0,-1
-1,-1,-8.5470669245763e-05,-8.26978377278372e-06,0,-1
-1,-1,0,1.5,0.5,-1
-1,-1,0.752194914265297,0.486739544708544,0,-1
-1,-1,-0.102485046834746,-0.0588990459018672,0,-1
-1,-1,-0.0448830613932844,0.00920430964163339,0,-1
-1,-1,0.0135145404678362,0.00416586763890094,0,-1
-1,-1,0.000888268306582937,-0.000598740314046936,0,-1
-1,-1,-0.000725784313459086,-0.000164693522030223,0,-1
-1,-1,7.16150750669786e-05,2.3363723140946e-05,0,-1
-1,-1,1,2.5,0.5,-1
-1,-1,0.137583770490623,0.443651799691372,0,-1
-1,-1,-0.0805456091926435,0.0262052382545083,0,-1
-1,-1,0.0193892052039777,-0.00231540165690813,0,-1
-1,-1,-0.00359763468527657,-0.00589077122533695,0,-1
-1,-1,-0.00106264410019271,-0.000221742171877902,0,-1
-1,-1,0.000448011957925767,0.000218433955734076,0,-1
-1,-1,-3.99051186283344e-05,-1.67342282668469e-05,0,-1
-1,-1,1,3.5,0.5,-1
-1,-1,-0.126467473372619,0.254191740808472,0,-1
-1,-1,-0.0560044273462586,-0.142267095787532,0,-1
-1,-1,0.000946944432008575,-0.0308406124422402,0,-1
-1,-1,0.00299790202826574,0.00214053206351474,0,-1
-1,-1,0.000586248208220304,0.000906351296531858,0,-1
-1,-1,-0.000217169748433112,-6.05491951091805e-05,0,-1
-1,-1,1.47077844754697e-05,-3.86649710194323e-06,0,-1
-1,-1,0.5,3,0.5,-1
-1,-1,-0.20082254893092,-0.723718149262082,0,-1
-1,-1,0.051478785453718,-0.202149296654152,0,-1
-1,-1,0.0205825114730606,0.020491251862894,0,-1
-1,-1,-0.00158337331125561,0.00593201595742629,0,-1
-1,-1,-0.000762721759525085,-0.000427249639212409,0,-1
-1,-1,2.88953561119026e-05,-0.000125249175379338,0,-1
-1,-1,7.62874054090571e-06,1.38678684597731e-05,0,-1
-1,-1,0.5,0.5,0.5,-1
-1,-1,0.215059559512414,-1.12150496677549,0,-1
-1,-1,0.0650572636262872,0.0546720544604318,0,-1
-1,-1,-0.0221400717922067,0.0339803038144854,0,-1
-1,-1,-0.00447726139768041,-0.00337270949333585,0,-1
-1,-1,0.000593590194164686,-0.000536540728108902,0,-1
-1,-1,0.000160041984814529,0.000109764658684967,0,-1
-1,-1,-2.08655411961159e-05,-5.37486240398295e-06,0,-1
-1,-1,1,-1.5,0.5,-1
-1,-1,0.0644007537990676,-0.528045734028001,0,-1
-1,-1,-0.119268381365371,0.155414608582084,0,-1
-1,-1,-0.0130166863554892,-0.00418949406890118,0,-1
-1,-1,0.00620183563381113,-0.00309063908875539,0,-1
-1,-1,0.000509082344335725,0.00037546514888408,0,-1
-1,-1,-0.000189957210727165,2.47953934607859e-05,0,-1
-1,-1,1.0152061891046e-05,-5.04068316745742e-06,0,-1
-1,-1,0.5,-2,0.5,-1
-1,-1,-0.382867266495169,0.0429239985375565,0,-1
-1,-1,-0.00520732495451421,0.0740520760164811,0,-1
-1,-1,0.035132451865181,-0.0112039673586603,0,-1
-1,-1,0.000780672893446394,0.00112201542098884,0,-1
-1,-1,-0.00129023440805269,0.00017511467941467,0,-1
-1,-1,4.6462862424451e-05,-7.23374340371331e-05,0,-1
-1,-1,4.91823090451093e-06,6.24406780462587e-06,0,-1
-1,-1,0,-1.5,0.5,-1
-1,-1,0.130506554154576,0.287598275309794,0,-1
-1,-1,0.111043859759425,0.0279442864461735,0,-1
-1,-1,-0.0232296658501332,-0.00318507811174449,0,-1
-1,-1,-0.00816278744877419,-0.000123533758485547,0,-1
-1,-1,0.00213820900297357,-0.000398149623933438,0,-1
-1,-1,-0.000238802771496848,0.000116676365339388,0,-1
-1,-1,2.56199179248597e-05,-1.1090707521011e-05,0,-1
-1,-1,0.5,-0.5,0.5,-1
-1,-1,-0.0772463333056268,0.304677322239158,0,-1
-1,-1,-0.118000798553359,-0.0312890307754828,0,-1
